cost_center,cust_loc,brand,zip,lat,lon,loc_name,sum_promo_sales
404,00005985 0404,Orkin,29687,34.935636,-82.32238,404 GREENVILLE                     ,805.69
405,00005985 0405,Orkin,29910,32.241315,-80.87404,405 HILTON HEAD                    ,1011.14
406,00005985 0406,Orkin,29577,33.698101,-78.89604,406 MYRTLE BEACH                   ,239.03
409,00005985 0409,Orkin,37923,35.928997,-84.07543,409 TENNESSEE/ALABAMA REGION       ,162.56
410,00005985 0410,Orkin,29732,34.969427,-81.0509,410 ROCK HILL                      ,729.39
413,00005985 0413,Western / Waltham,8052,39.952212,-74.99464,413 MAPLE SHADE                    ,176.19
416,00005985 0416,Western / Waltham,19454,40.223524,-75.24731,416 SPRING HOUSE                   ,54
417,00005985 0417,Western / Waltham,19803,39.793962,-75.53401,417 WILMINGTON                     ,34.53
420,00005985 0420,Orkin,37421,35.028574,-85.15939,420 CHATTANOOGA                    ,25.52
421,00005985 0421,Orkin,94010,37.574936,-122.36332,ROLLINS SUPPLY                     ,3865.18
423,00005985 0423,Orkin,30324,33.818304,-84.35779,OCCC SALES - COVINGTON             ,1245
424,00005985 0424,Western / Waltham,8234,39.398172,-74.59667,424 ATLANTIC CITY                  ,86.42
426,00005985 0426,Western / Waltham,8210,39.081754,-74.83658,426 CAPE MAY                       ,373.27
427,00005985 0427,Orkin,37211,36.079259,-86.72584,427 NASHVILLE COMML                ,1572.22
429,00005985 0429,Orkin,29687,34.935636,-82.32238,429 SOUTH CAROLINA REGION          ,1500.91
431,00005985 0431,Orkin,37115,36.264069,-86.70566,431 MADISON                        ,1650.98
433,00005985 0433,Orkin,38133,35.208709,-89.80518,433 MEMPHIS                        ,1136.36
434,00005985 0434,Orkin,37130,35.860152,-86.3648,434 MURFREESBORO                   ,843.07
436,00005985 0436,Orkin,37211,36.079259,-86.72584,436 NASHVILLE                      ,2329.87
437,00005985 0437,Orkin,95131,37.38631,-121.88987,ROLLINS SUPPLY                     ,3440.95
438,00005985 0438,Orkin,94551,37.680181,-121.921498,ROLLINS SUPPLY                     ,3000.93
440,00005985 0440,Orkin,22801,38.426786,-78.88153,440 CHARLOTTESVILLE                ,1585.22
444,00005985 0444,Orkin,23606,37.078196,-76.49446,444 HAMPTON                        ,733.98
447,00005985 0447,Orkin,20109,38.790202,-77.51294,447 MANASSAS                       ,375.86
449,00005985 0449,Orkin,23005,37.754254,-77.47465,449 VIRGINIA REGION                ,109.3
450,00005985 0450,Orkin,94545,37.635582,-122.10418,ROLLINS SUPPLY                     ,955.66
451,00005985 0451,Orkin,23113,37.51338,-77.64165,451 BON AIR                        ,1398.54
453,00005985 0453,Orkin,23455,36.889797,-76.1426,453 PORTSMOUTH                     ,993.8
454,00005985 0454,Orkin,23005,37.754254,-77.47465,454 RICHMOND                       ,692.9
456,00005985 0456,Orkin,24019,37.341428,-79.95049,456 ROANOKE                        ,2173.66
457,00005985 0457,Orkin,23320,36.761698,-76.24511,457 CHESAPEAKE                     ,615.32
462,00005985 0462,Orkin,28269,35.329235,-80.80486,462 NORTH CHARLOTTE                ,468.09
464,00005985 0464,Orkin,28227,35.192919,-80.66822,464 CHARLOTTE                      ,361.14
467,00005985 0467,Orkin,27616,35.865441,-78.54929,467 NORTH RALEIGH                  ,364.68
470,00005985 0470,Orkin,27405,36.107499,-79.75242,470 GREENSBORO                     ,246.66
472,00005985 0472,Orkin,28602,35.70701,-81.3534,472 HICKORY                        ,2089.44
475,00005985 0475,Orkin,28734,35.185018,-83.39032,475 FRANKLIN                       ,1508.57
478,00005985 0478,Orkin,27103,36.066545,-80.30733,478 WINSTON-SALEM                  ,1610.5
480,00005985 0480,Orkin,15146,40.431034,-79.76526,480 NORTH PITTSBURGH               ,1142.64
481,00005985 0481,Orkin,15301,40.170663,-80.25185,481 SOUTH PITTSBURGH               ,239.45
484,00005985 0484,Orkin,25813,37.754656,-81.11304,484 BECKLEY                        ,82.27
486,00005985 0486,Orkin,25159,38.49008,-81.79515,486 CHARLESTON SLS/SVC CENTER      ,58.7
488,00005985 0488,Orkin,26408,39.205852,-80.29416,488 CLARKSBURG                     ,1718.68
490,00005985 0490,Orkin,44130,41.378051,-81.77945,490 PARMA                          ,879.09
491,00005985 0491,Orkin,44141,41.307688,-81.61835,491 CLEVELAND COMMERCIAL           ,471.12
493,00005985 0493,Orkin,95008,37.278843,-121.95446,493 BAY VALLEY PEST CONTROL        ,848.62
497,00005985 0497,Orkin,92276,33.821318,-116.38023,497 ORKIN PALM SPRINGS             ,1491.82
499,00005985 0499,Orkin,19073,39.98451,-75.41265,299 BELTWAY COMMERCIAL REGION      ,852.81
501,00005985 0501,Orkin,60007,42.005978,-87.99847,501 ELK GROVE                      ,1279.22
502,00005985 0502,Orkin,60506,41.766029,-88.35254,502 AURORA                         ,982.36
504,00005985 0504,Orkin,61822,40.126854,-88.29315,504 CHAMPAIGN                      ,2267.89
508,00005985 0508,Orkin,60077,42.033313,-87.75764,508 SKOKIE                         ,1431.89
509,00005985 0509,Orkin,21030,39.477506,-76.64114,509 MARYLAND REGION                ,12362.2
512,00005985 0512,Orkin,60544,41.607624,-88.19736,512 JOLIET                         ,888.68
513,00005985 0513,Orkin,60014,42.226623,-88.33066,513 CRYSTAL LAKE                   ,1862.01
516,00005985 0516,Orkin,61301,41.347117,-89.08974,516 LASALLE                        ,976.24
518,00005985 0518,Orkin,60155,41.857931,-87.85477,518 OAK PARK                       ,180.13
519,00005985 0519,Orkin,60007,42.005978,-87.99847,519 ILLINOIS REGION                ,1148.38
520,00005985 0520,Orkin,60803,41.675861,-87.73189,520 ALSIP                          ,929.94
524,00005985 0524,Orkin,52404,41.947335,-91.68819,524 CEDAR RAPIDS                   ,243.07
526,00005985 0526,Orkin,52806,41.574581,-90.60303,526 DAVENPORT                      ,306.16
527,00005985 0527,Orkin,50322,41.630521,-93.7238,527 WEST DES MOINES                ,292.11
532,00005985 0532,Orkin,68137,41.204631,-96.12108,532 OMAHA                          ,39.92
534,00005985 0534,Orkin,30324,33.818304,-84.35779,OCCC SALES - CHARLOTTE             ,315
536,00005985 0536,Orkin,57049,42.524771,-96.49955,536 SIOUX CITY                     ,973.84
538,00005985 0538,Orkin,50613,42.527184,-92.45609,538 WATERLOO                       ,94.82
539,00005985 0539,Orkin,55344,44.867013,-93.42557,539 IOWA/WISCONSIN REGION          ,501.15
540,00005985 0540,Orkin,21009,39.473899,-76.2983,540 BEL AIR                        ,1431.97
542,00005985 0542,Orkin,30324,33.818304,-84.35779,OCCC CUSTOMER SERVICE              ,517.5
546,00005985 0546,Orkin,55117,44.989065,-93.10666,546 ST PAUL COMMERCIAL             ,346.34
547,00005985 0547,Orkin,48326,42.661129,-83.24571,547 PONTIAC                        ,4235.84
548,00005985 0548,Orkin,48047,42.670932,-82.77754,548 MT CLEMENS                     ,7437.79
551,00005985 0551,Orkin,48820,42.842438,-84.58612,551 LANSING                        ,1784.62
553,00005985 0553,Orkin,49036,41.912776,-85.0142,553 COLDWATER                      ,437.43
554,00005985 0554,Orkin,49002,42.210792,-85.55958,554 KALAMAZOO                      ,2343.74
555,00005985 0555,Orkin,48184,42.276688,-83.3786,555 WAYNE                          ,2076.63
556,00005985 0556,Orkin,48603,43.441975,-84.01177,556 SAGINAW                        ,1272.07
557,00005985 0557,Orkin,43614,41.60135,-83.62611,557 TOLEDO                         ,2302.12
558,00005985 0558,Orkin,46601,41.671197,-86.25253,558 SOUTH BEND                     ,3175.27
559,00005985 0559,Orkin,48820,42.842438,-84.58612,559 MICHIGAN REGION                ,5827.58
560,00005985 0560,Orkin,43229,40.085313,-82.97326,560 COLUMBUS COMMERCIAL            ,868.41
562,00005985 0562,Orkin,44685,40.961206,-81.42516,562 AKRON                          ,3539.95
563,00005985 0563,Orkin,41018,39.013755,-84.60229,563 FLORENCE                       ,137.9
564,00005985 0564,Orkin,45215,39.228859,-84.45707,564 CINCINNATI                     ,216.94
565,00005985 0565,Orkin,44070,41.415097,-81.91436,565 NORTH OLMSTED                  ,593.12
566,00005985 0566,Orkin,43229,40.085313,-82.97326,566 COLUMBUS                       ,820.16
568,00005985 0568,Orkin,45414,39.820807,-84.19381,568 DAYTON PC                      ,1843.92
569,00005985 0569,Orkin,49428,42.904275,-85.82314,569 EAST GRAND RAPIDS              ,8776.72
571,00005985 0571,Orkin,46808,41.094348,-85.16151,571 FT WAYNE                       ,2352.23
572,00005985 0572,Orkin,46226,39.83729,-86.05378,572 INDIANAPOLIS                   ,587.51
574,00005985 0574,Orkin,47334,40.117139,-85.54205,574 KOKOMO                         ,972.66
576,00005985 0576,Orkin,46278,39.89792,-86.28619,576 ZIONSVILLE                     ,5273.07
577,00005985 0577,Orkin,46411,41.461543,-87.372779,577 MERRILLVILLE                   ,1972.25
579,00005985 0579,Orkin,46037,39.900406,-84.8786,579 INDIANA/OHIO REGION            ,2130.28
580,00005985 0580,Orkin,45365,40.284855,-84.15974,580 SIDNEY                         ,1819.86
583,00005985 0583,Orkin,45036,39.440152,-84.22175,583 LEBANON                        ,319.78
586,00005985 0586,Orkin,61704,40.459584,-88.96939,586 BLOOMINGTON                    ,698.78
590,00005985 0590,Orkin,47715,37.975476,-87.47506,590 EVANSVILLE                     ,787.33
592,00005985 0592,Orkin,62959,37.724504,-88.92968,592 MARION                         ,250.1
594,00005985 0594,Orkin,61607,40.642049,-89.67147,594 PEORIA                         ,65.68
596,00005985 0596,Orkin,47803,39.46706,-87.34452,596 TERRE HAUTE                    ,949.33
601,00005985 0601,Orkin,20747,38.855479,-76.88621,601 WASHINGTON DC COMMERCIAL       ,1879.86
603,00005985 0603,Orkin,50613,42.527184,-92.45609,IA/WI SUPPORT CENTER               ,302.79
604,00005985 0604,Orkin,90019,34.048411,-118.34015,604 WEST LOS ANGELES COMM          ,837.49
605,00005985 0605,Orkin,94010,37.574936,-122.36332,605 SAN FRANCISCO COMMERCIAL       ,4804.86
606,00005985 0606,Orkin,52001,42.515252,-90.6794,606 DUBUQUE                        ,32.8
607,00005985 0607,Orkin,54935,43.769889,-88.4281,607 FOND DU LAC                    ,1262.78
608,00005985 0608,Orkin,53716,43.065621,-89.32085,608 MADISON                        ,220.89
609,00005985 0609,Orkin,54703,44.82961,-91.50521,609 EAU CLAIRE                     ,951.82
610,00005985 0610,Orkin,53007,43.10836,-88.06893,610 MILWAUKEE                      ,1847.93
611,00005985 0611,Orkin,54603,43.848665,-91.24922,611 LACROSSE                       ,277.21
612,00005985 0612,Orkin,54303,44.530892,-88.04482,612 GREEN BAY                      ,1228.36
614,00005985 0614,Orkin,61109,42.213439,-89.05595,614 ROCKFORD                       ,432.37
